City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,abapo,72,BO,1586914711,53,-18.83,-63.47,63.43,3.42
1,abu kamal,0,SY,1586914660,33,34.45,40.92,61.18,2.84
2,abu samrah,0,SY,1586914678,38,35.3,37.18,57.45,5.44
3,adelaide,100,AU,1586914601,17,-34.93,138.6,82.0,18.34
4,agadez,0,NE,1586914654,13,19.75,10.25,79.72,10.0
5,ahipara,80,NZ,1586914695,67,-35.17,173.17,62.31,16.08
6,airai,87,TL,1586914658,53,-8.93,125.41,72.5,3.24
7,aitape,100,PG,1586914680,72,-3.14,142.35,84.36,3.89
8,aklavik,75,CA,1586914662,64,68.22,-135.01,35.6,8.05
9,aksu,100,CN,1586914655,14,41.12,80.26,70.56,1.19
10,albany,90,US,1586914447,28,42.6,-73.97,45.0,5.19
11,albert,7,FR,1586914679,80,50.0,2.65,39.2,9.17
12,alice springs,0,AU,1586914695,20,-23.7,133.88,82.4,5.82
13,almaznyy,100,RU,1586914656,61,48.04,40.05,48.2,6.71
14,alofi,90,NU,1586914698,73,-19.06,-169.92,79.88,10.51
15,aloleng,5,PH,1586914677,61,16.13,119.78,85.06,2.71
16,alta floresta,100,BR,1586914693,90,-9.88,-56.09,71.4,2.91
17,alyangula,40,AU,1586914703,59,-13.85,136.42,89.6,12.75
18,ambilobe,14,MG,1586914688,80,-13.2,49.05,72.73,6.04
19,anadyr,100,RU,1586914675,78,64.75,177.48,14.0,13.42
20,ancud,75,CL,1586914517,100,-41.87,-73.82,50.0,18.34
21,andradas,100,BR,1586914708,68,-22.07,-46.57,61.92,4.14
22,antalaha,31,MG,1586914703,79,-14.9,50.28,76.69,7.58
23,antofagasta,90,CL,1586914585,77,-23.65,-70.4,66.2,5.82
24,antropovo,100,RU,1586914684,91,58.4,43.01,37.81,5.79
25,aquin,16,HT,1586914671,77,18.28,-73.4,80.02,2.19
26,araguacu,99,BR,1586914711,89,-12.93,-49.83,72.43,4.23
27,aranos,12,NA,1586914708,21,-24.13,19.12,57.16,7.36
28,araure,0,VE,1586914590,44,9.56,-69.21,78.8,9.17
29,arman,97,RU,1586914676,91,59.7,150.17,29.53,2.53
30,arraial do cabo,20,BR,1586914486,88,-22.97,-42.03,75.2,14.99
31,asau,57,RO,1586914688,74,46.43,26.4,36.0,4.7
32,ascension,1,US,1586914455,56,30.22,-90.9,68.0,5.82
33,atar,0,MR,1586914684,25,20.52,-13.05,69.19,6.87
34,atuona,31,PF,1586914656,66,-9.8,-139.03,82.6,3.74
