City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,abu samrah,13,SY,1587216309,24,35.3,37.18,78.26,1.28
1,abu zabad,47,SD,1587216309,7,12.35,29.25,98.83,6.49
2,acapulco,5,MX,1587215869,64,16.86,-99.89,75.2,2.24
3,acevedo,91,CO,1587216293,64,1.84,-75.86,64.71,2.15
4,agua branca,97,BR,1587216339,86,-5.89,-42.64,76.75,4.52
5,ahipara,11,NZ,1587215995,84,-35.17,173.17,63.75,11.18
6,airai,56,TL,1587216155,70,-8.93,125.41,62.51,2.04
7,akhtubinsk,13,RU,1587216307,31,48.28,46.17,61.12,13.89
8,aklavik,75,CA,1587216175,86,68.22,-135.01,28.4,14.99
9,aksarka,100,RU,1587216298,98,66.56,67.8,34.11,2.62
10,aksu,96,CN,1587216315,35,41.12,80.26,62.24,9.22
11,akureyri,40,IS,1587216312,57,65.68,-18.09,50.0,35.57
12,albany,100,US,1587216178,89,42.6,-73.97,35.01,6.31
13,alexandria,0,EG,1587216174,64,31.22,29.96,71.6,12.75
14,alice springs,0,AU,1587215994,37,-23.7,133.88,71.6,6.93
15,alofi,5,NU,1587216116,88,-19.06,-169.92,77.0,9.17
16,alta floresta,40,BR,1587215999,56,-9.88,-56.09,95.0,4.7
17,am timan,24,TD,1587216316,5,11.03,20.28,106.14,7.31
18,amasya,20,TR,1587216302,25,40.67,35.83,75.2,4.7
19,ambanja,20,MG,1587216323,67,-13.68,48.45,91.4,4.7
20,amboasary,20,MG,1587216336,65,-25.03,46.38,82.4,16.11
21,ambulu,100,ID,1587216313,75,-8.35,113.61,82.09,1.79
22,ambunti,92,PG,1587216019,94,-4.24,142.84,75.16,1.92
23,anadyr,90,RU,1587216156,85,64.75,177.48,15.8,13.42
24,ancud,75,CL,1587216185,100,-41.87,-73.82,57.2,9.17
25,andros town,40,BS,1587216168,78,24.7,-77.77,84.0,12.75
26,araouane,82,ML,1587216315,7,18.9,-3.53,106.48,12.91
27,arman,100,RU,1587215963,91,59.7,150.17,12.25,18.32
28,arraial do cabo,40,BR,1587215884,78,-22.97,-42.03,75.2,13.87
29,atambua,59,ID,1587216197,80,-9.11,124.89,75.99,1.68
